0.010000,0,0
0.020000,3,3
0.030000,3,3
0.040000,9,9
0.050000,12,12
0.060000,25,25
0.070000,22,22
0.080000,37,37
0.090000,51,50
0.100000,52,52
0.110000,41,39
0.120000,82,82
0.130000,93,90
0.140000,94,95
0.150000,129,127
0.160000,159,150
0.170000,188,186
0.180000,180,180
0.190000,221,214
0.200000,242,243
0.210000,277,270
0.220000,336,326
0.230000,336,322
0.240000,412,391
0.250000,431,412
0.260000,441,422
0.270000,460,446
0.280000,582,553
0.290000,637,621
0.300000,561,549
0.310000,658,621
0.320000,768,705
0.330000,902,806
0.340000,881,806
0.350000,864,840
0.360000,984,920
0.370000,1098,1001
0.380000,1156,1080
0.390000,1276,1159
0.400000,1310,1136
0.410000,1448,1320
0.420000,1503,1397
0.430000,1626,1511
0.440000,1686,1507
0.450000,1914,1679
0.460000,2084,1889
0.470000,2066,1734
0.480000,2170,1865
0.490000,2121,1967
0.500000,2513,2189
0.510000,2735,2275
0.520000,2861,2347
0.530000,3088,2463
0.540000,3008,2530
0.550000,3473,2890
0.560000,4036,3120
0.570000,3773,3125
0.580000,4240,3272
0.590000,4571,3486
0.600000,4484,3406
0.610000,4460,3647
0.620000,5098,3974
0.630000,5214,4119
0.640000,5719,4347
0.650000,6514,4744
0.660000,6637,4662
0.670000,6477,4898
0.680000,7470,5080
0.690000,8065,5635
0.700000,8148,5740
0.710000,9181,6060
0.720000,8817,6341
0.730000,8635,6290
0.740000,11329,7076
0.750000,11927,7242
0.760000,10699,7270
0.770000,12946,8151
0.780000,13818,8593
0.790000,14253,8786
0.800000,15460,9196
0.810000,18063,9846
0.820000,19052,10044
0.830000,22284,10856
0.840000,21124,11224
0.850000,23278,12084
0.860000,25625,12777
0.870000,29354,12835
0.880000,27924,14163
0.890000,39612,16056
0.900000,40842,15912
0.910000,44037,17133
0.920000,47376,17843
0.930000,81599,19630
0.940000,71052,21235
0.950000,87119,23162
0.960000,84862,25819
0.970000,145576,29000
0.980000,156134,33954
0.990000,489066,40299
